Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0.25,Falso,adamax,"(2, 2)",[32],"(3, 3)",2Capas,2.215971502603269,1.8396001937342623,0.2156862765550613,0.3725490272045136
relu,Falso,Drop0.25,Falso,adamax,"(2, 2)",[32],"(3, 3)",3Capas,2.2284247875213623,1.5645446543600043,0.19607843458652496,0.4448529481887817
relu,Falso,Drop0.25,Falso,adamax,"(3, 3)","[32, 16]","(2, 2)",2Capas,1.9594880085365445,1.3112710854586431,0.3578431308269501,0.5257353186607361
relu,Falso,Drop0.25,Falso,adamax,"(3, 3)","[32, 16]","(2, 2)",3Capas,1.8038970278758628,1.1171501430810666,0.4313725531101226,0.6164215803146361
relu,Falso,Drop0.25,Falso,adamax,"(3, 3)","[32, 16]","(3, 3)",2Capas,1.4479265960992551,1.2722028517255597,0.593137264251709,0.563725471496582
relu,Falso,Drop0.25,Falso,adamax,"(3, 3)","[32, 16]","(3, 3)",3Capas,1.5140887358609367,1.3830125028011844,0.5,0.5171568393707275
relu,Falso,Drop0.25,Falso,adamax,"(3, 3)",[32],"(2, 2)",2Capas,2.3130185931336644,2.2654594440086213,0.14705882966518402,0.15931372344493863
relu,Falso,Drop0.25,Falso,adamax,"(3, 3)",[32],"(2, 2)",3Capas,2.2570818779515287,1.7870670907637651,0.22549019753932953,0.36274510622024536
relu,Falso,Drop0.25,Falso,adamax,"(3, 3)",[32],"(3, 3)",2Capas,2.0770344266704486,1.5927051025278427,0.31862744688987726,0.4571078419685364
relu,Falso,Drop0.25,Falso,adamax,"(3, 3)",[32],"(3, 3)",3Capas,1.9698533240486595,1.5340821322272806,0.3382352888584137,0.4522058963775634
relu,Falso,Drop0.25,Falso,nadam,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.03086436028574,1.6410859285616408,0.3088235259056092,0.40196079015731806
relu,Falso,Drop0.25,Falso,nadam,"(2, 2)","[32, 16]","(2, 2)",3Capas,1.8515775788064095,1.3623999707839067,0.40196079015731806,0.5379902124404907
relu,Falso,Drop0.25,Falso,nadam,"(2, 2)","[32, 16]","(3, 3)",2Capas,1.690949000564276,1.3490369062797696,0.46568626165390015,0.5171568393707275
relu,Falso,Drop0.25,Falso,nadam,"(2, 2)","[32, 16]","(3, 3)",3Capas,1.6966784280889176,1.410114797891355,0.47549018263816833,0.5220588445663452
relu,Falso,Drop0.25,Falso,nadam,"(2, 2)",[32],"(2, 2)",2Capas,2.2876742400375067,2.2501008557338342,0.15196079015731812,0.17892156541347504
relu,Falso,Drop0.25,Falso,nadam,"(2, 2)",[32],"(2, 2)",3Capas,2.275314999561684,1.816435042549582,0.2549019753932953,0.3590686321258545
relu,Falso,Drop0.25,Falso,nadam,"(2, 2)",[32],"(3, 3)",2Capas,2.18456917183072,1.5913938073550953,0.30392158031463623,0.4375
relu,Falso,Drop0.25,Falso,nadam,"(2, 2)",[32],"(3, 3)",3Capas,2.148783959594428,1.9402652160794127,0.2352941185235977,0.30514705181121826
relu,Falso,Drop0.25,Falso,nadam,"(3, 3)","[32, 16]","(2, 2)",2Capas,1.9340758674284992,1.432856943093094,0.3921568691730499,0.5208333134651184
relu,Falso,Drop0.25,Falso,nadam,"(3, 3)","[32, 16]","(2, 2)",3Capas,1.856542063694374,1.5161015753652536,0.3725490272045136,0.46446079015731806
relu,Falso,Drop0.25,Falso,nadam,"(3, 3)","[32, 16]","(3, 3)",2Capas,1.5161376653933059,1.240132867121229,0.5441176295280457,0.5686274766921997
relu,Falso,Drop0.25,Falso,nadam,"(3, 3)","[32, 16]","(3, 3)",3Capas,1.4513591644810695,1.2671984247132844,0.5784313678741455,0.5625
relu,Falso,Drop0.25,Falso,nadam,"(3, 3)",[32],"(2, 2)",2Capas,2.3093543660406968,2.2917019058676327,0.18137255311012268,0.1458333283662796
relu,Falso,Drop0.25,Falso,nadam,"(3, 3)",[32],"(2, 2)",3Capas,2.2195145195605708,1.8102950114829868,0.24509803950786593,0.36029410362243647
relu,Falso,Drop0.25,Falso,nadam,"(3, 3)",[32],"(3, 3)",2Capas,2.0810072866140628,1.7729843434165506,0.27941176295280457,0.3762255012989044
relu,Falso,Drop0.25,Falso,nadam,"(3, 3)",[32],"(3, 3)",3Capas,2.021103503657322,1.5297949010250615,0.3578431308269501,0.44852942228317266
relu,Falso,Drop0.25,Verdadero,adam,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.113376708591685,2.2971360402948715,0.29901960492134094,0.5845588445663452
relu,Falso,Drop0.25,Verdadero,adam,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.0691683269014542,2.9718330327202294,0.28921568393707275,0.4448529481887817
relu,Falso,Drop0.25,Verdadero,adam,"(2, 2)","[32, 16]","(3, 3)",2Capas,1.841112457069696,2.7743545887517,0.406862735748291,0.47303920984268183
relu,Falso,Drop0.25,Verdadero,adam,"(2, 2)","[32, 16]","(3, 3)",3Capas,1.865041833297879,2.4049691359202066,0.3970588147640228,0.5808823704719543
relu,Falso,Drop0.25,Verdadero,adam,"(2, 2)",[32],"(2, 2)",2Capas,2.320157691544177,4.344184529547598,0.14705882966518402,0.15073528885841367
relu,Falso,Drop0.25,Verdadero,adam,"(2, 2)",[32],"(2, 2)",3Capas,2.2996838186301436,4.145676463258033,0.14215686917304993,0.18995098769664764
relu,Falso,Drop0.25,Verdadero,adam,"(2, 2)",[32],"(3, 3)",2Capas,2.284698804219564,3.85003651824652,0.1764705926179886,0.2916666567325592
relu,Falso,Drop0.25,Verdadero,adam,"(2, 2)",[32],"(3, 3)",3Capas,2.259849323945887,3.34295841291839,0.19117647409439087,0.35661765933036804
relu,Falso,Drop0.25,Verdadero,adam,"(3, 3)","[32, 16]","(2, 2)",2Capas,2.1019852745766734,2.3088166573468376,0.3823529481887817,0.5894607901573181
